Genes	Tools				
AAK1	DEPICT MAGMA				
MAST3	DEPICT MAGMA				
GNAI3	DEPICT MAGMA				
RALY	DEPICT MAGMA				
YEATS2	DEPICT MAGMA				
DCAF12	DEPICT MAGMA				
RNF168	DEPICT MAGMA				
CBX8	DEPICT MAGMA				
RQCD1	DEPICT MAGMA				
FBXL19	DEPICT MAGMA				
GRIK5	DEPICT MAGMA				
NAV1	DEPICT MAGMA				
PTPRA	DEPICT MAGMA				
RGS6	DEPICT MAGMA				
PHF13	DEPICT MAGMA				
CAMKK2	DEPICT MAGMA				
UBR2	DEPICT MAGMA				
ZZZ3	DEPICT MAGMA				
HIP1	DEPICT MAGMA				
KIAA0754	DEPICT MAGMA				
POC1B	DEPICT MAGMA				
ARRB2	FINEMAP				
ZSCAN32	FINEMAP				
FKBP4	FINEMAP				
SLC50A1	FINEMAP				
DDIT4L	FINEMAP				
ST6GALNAC3	FINEMAP				
TBC1D16	FINEMAP				
HAS3	FINEMAP				
ADAR	FINEMAP				
BUD13	FINEMAP				
ASTN1	FINEMAP				
LRTM2	FINEMAP				
PRED58	FINEMAP				
PKLR	FINEMAP				
MCM3	FINEMAP				
DPM3	FINEMAP				
MED11	FINEMAP				
EFNA1	FINEMAP				
RHBDD2	FINEMAP				
PHLDB1	FINEMAP				
ZNF174	FINEMAP				
RFC2	FINEMAP				
CHTF8	FINEMAP				
TRIM49	FINEMAP				
TMPRSS5	FINEMAP				
TSPAN9	FINEMAP				
ADIPOR2	FINEMAP				
AP001816.1	FINEMAP				
FDPS	FINEMAP				
AC138783.12	TWAS				
RP11-1348G14.6	TWAS				
DNAJC27_AS1	TWAS				
KRT18P34	TWAS				
USP3-AS1	TWAS				
RP11-22P6.2	TWAS				
MST1P2	TWAS				
NPIPB7	TWAS				
CTC-524C5.2	TWAS				
NFATC3	TWAS				
RP11-267M23.4	TWAS				
FOXE3	TWAS				
FAM85B	TWAS				
TNFRSF25	TWAS				
RP11-339B21.15	TWAS				
RP11-75C9.1	TWAS				
LOC100289187	TWAS				
CTB-75G16.3	TWAS				
PMS2P3	TWAS				
RMST	TWAS				
SLC2A3P4	TWAS				
OXCT2P1	TWAS				
SNORA16	TWAS				
LINC00614	TWAS				
CTD-2380F24.1	TWAS				
RAB7L1	TWAS				
RP11-1348G14.4	TWAS				
RP11-62H7.2	TWAS				
FAM86B3P	TWAS				
FKSG48	TWAS				
PMS2CL	TWAS				
AC068039.4	TWAS				
RP11-555M1.3	TWAS				
NTAN1P2	TWAS				
RP11-339B21.14	TWAS				
DNAH10OS	TWAS				
LINC00163	TWAS				
LINC00202-1	TWAS				
AC090945.1	TWAS				
SLC26A9	TWAS				
RP11-624M8.1	TWAS				
RP11-339B21.13	TWAS				
RP11-552F3.9	TWAS				
LRRC37A6P	TWAS				
RP1-283E3.4	SMR				
MINOS1P1	SMR				
C11orf75	SMR				
RP11-51F16.5	SMR				
RP4-635E18.7	SMR				
RP11-196G11.4	SMR				
ATP8A2P2	SMR				
PMS2P10	SMR				
DLG1	PoPS				
LRRC41	PoPS				
PAK1	PoPS				
ATP9B	PoPS				
CHD9	PoPS				
PAPOLA	PoPS				
TTC37	PoPS				
MED13L	PoPS				
B3GAT1	PoPS				
FRY	PoPS				
PRR16	PoPS				
RAPGEF6	PoPS				
C16orf45	PoPS				
KCNC1	PoPS				
GRB2	PoPS				
EP400	PoPS				
PTK2	PoPS				
GCC2	PoPS				
USP7	PoPS				
MAP3K13	PoPS				
MEIS2	PoPS				
SON	PoPS				
PSMD11	PoPS				
CDK17	PoPS				
MBD5	PoPS				
NKAIN3	PoPS				
PALM2	PoPS				
UBN2	PoPS				
DHX15	PoPS				
NR2C2	PoPS				
AGTPBP1	PoPS				
NKTR	PoPS				
FRYL	PoPS				
RHOBTB2	PoPS				
PSMD5	PoPS				
ASH1L	PoPS				
PSMF1	PoPS				
GNAO1	PoPS				
PFKL	PoPS				
KCNK10	PoPS				
TTC3	PoPS				
PAQR3	PoPS				
ASTN2	PoPS				
ZNF827	PoPS				
TSHZ1	PoPS				
BICD1	PoPS				
CORO1C	PoPS				
KALRN	PoPS				
NF1	PoPS				
NCK2	PoPS				
AP2B1	PoPS				
ATXN2	PoPS				
SMCHD1	PoPS				
IPO5	PoPS				
ESR1	PoPS				
DVL1	PoPS				
SNCA	PoPS				
RIMS1	PoPS				
SMG1	PoPS				
FOXO1	PoPS				
CBLN2	PoPS				
GFRA2	PoPS				
IRF2BPL	PoPS				
ADCY1	PoPS				
FOXG1	PoPS				
HERC1	PoPS				
MTF2	PoPS				
MTUS2	PoPS				
CHGB	PoPS				
SMAD2	PoPS				
VSTM2B	PoPS				
NOL4	PoPS				
PPP3CB	PoPS				
C7orf50	PoPS				
TBCEL	PoPS				
FAM171B	PoPS				
MDM2	PoPS				
PPFIA2	PoPS				
CDK13	PoPS				
DZIP1	PoPS				
CHD2	PoPS				
NR4A1	PoPS				
NAP1L5	PoPS				
CNTN1	PoPS				
IARS	PoPS				
MED13	PoPS				
TRA2A	PoPS				
SCLT1	PoPS				
ABL1	PoPS				
UBE2H	PoPS				
TBX3	PoPS				
PDE7A	PoPS				
PSMD4	PoPS				
GRIK3	PoPS				
CACNB2	PoPS				
TOX2	PoPS				
CLCN3	PoPS				
TFAP2A	PoPS				
CRMP1	PoPS				
MC3R	PoPS				
BRD2	PoPS				
C20orf194	PoPS				
STXBP1	PoPS				
NOVA1	PoPS				
FZD3	PoPS				
HDAC1	PoPS				
LDB1	PoPS				
FOSB	PoPS				
GFRA1	PoPS				
TOP2B	PoPS				
SH3GL2	PoPS				
KLF13	PoPS				
LPIN1	PoPS				
DOCK7	PoPS				
STMN2	PoPS				
BACH2	PoPS				
CALM1	PoPS				
EVL	PoPS				
ERC1	PoPS				
MLXIP	PoPS				
SOS1	PoPS				
RBFOX3	PoPS				
TIA1	PoPS				
SAMD3	PoPS				
PTPRZ1	PoPS				
GALNT13	PoPS				
PSMC2	PoPS				
UBE2I	PoPS				
RAB37	PoPS				
YWHAE	PoPS				
WDR1	PoPS				
SLC8A3	PoPS				
GPI	PoPS				
STMN3	PoPS				
CAMK2D	PoPS				
PI4K2A	PoPS				
ZMYND8	PoPS				
NRP2	PoPS				
EPHA5	PoPS				
CASD1	PoPS				
HDAC9	PoPS				
FAM188A	PoPS				
NPTX2	PoPS				
CBLB	PoPS				
RAF1	PoPS				
CNRIP1	PoPS				
LARP1	PoPS				
ZBTB16	PoPS				
KIF21A	PoPS				
KIAA1244	PoPS				
EPRS	PoPS				
GRIN2B	PoPS				
STAT3	PoPS				
MYO5A	PoPS				
TRIM27	PoPS				
CNTNAP4	PoPS				
TRMT13	PoPS				
NEUROD1	PoPS				
ADCY8	PoPS				
DDX46	PoPS				
GNB2	PoPS				
FAM92A1	PoPS				
ZNF292	PoPS				
BMPER	PoPS				
CTCF	PoPS				
CLASP2	PoPS				
HSP90AA1	PoPS				
CLOCK	PoPS				
PRKCE	PoPS				
PSMA4	PoPS				
DENND5A	PoPS				
PPP1R12B	PoPS				
STX1A	PoPS				
KCNH8	PoPS				
NPEPPS	PoPS				
HOMER2	PoPS				
ID4	PoPS				
CACNA1A	PoPS				
FUT9	PoPS				
GRIN1	PoPS				
TDG	PoPS				
MYCBP2	PoPS				
GNAQ	PoPS				
TRAF4	PoPS				
SLC20A1	PoPS				
BCL2L1	PoPS				
GTDC1	PoPS				
RELA	PoPS				
HIF1A	PoPS				
SMIM14	PoPS				
MED28	PoPS				
HSF1	PoPS				
DST	PoPS				
KMT2A	PoPS				
FBXW11	PoPS				
PRRC2A	PoPS				
CTDSPL	PoPS				
HMGCLL1	PoPS				
SMC5	PoPS				
AKAP5	PoPS				
SRGAP3	PoPS				
RASAL2	PoPS				
CHD5	PoPS				
KCNB1	PoPS				
ZNF462	PoPS				
USP22	PoPS				
KCTD16	PoPS				
RALGAPA1	PoPS				
SREK1	PoPS				
PDE8B	PoPS				
NUMA1	PoPS				
SV2C	PoPS				
DCC	PoPS				
CHN1	PoPS				
PNN	PoPS				
SNAP91	PoPS				
SRF	PoPS				
UBC	PoPS				
CCDC88A	PoPS				
OTUD4	MSC				
CTD-2330K9.3	MSC				
ZBTB41	MSC				
SNIP1	MSC				
ZKSCAN8	MSC				
EIF2B5	Nearest				
LCORL	Nearest				
C15orf41	Nearest				
PUF60	Nearest				
SRSF6	Nearest				
HDAC7	Nearest				
ALCAM	Nearest				
PCDH18	Nearest				
NFIL3	Nearest				
ARAP1	Nearest				
AHR	Nearest				
ACVR2A	Nearest				
PRIM2	Nearest				
AC017081.1	Nearest				
KCNJ6	Nearest				
C21orf49	Nearest				
HTR1E	Nearest				
FNTB	Nearest				
TYRP1	Nearest				
RAB15	Nearest				
PIK3C2G	Nearest				
CEP164	Nearest				
BMP2	Nearest				
SDK2	Nearest				
AC138647.1	Nearest				
NRSN1	Nearest				
KIAA1841	Nearest				
GNGT1	Nearest				
LPHN3	Nearest				
PRELID2	Nearest				
LINC01098	Nearest				
CLNK	Nearest				
LMO7	Nearest				
MAN1A1	Nearest				
FAM83B	Nearest				
TMEM182	Nearest				
CRH	Nearest				
AC011997.1	Nearest				
MYEOV	Nearest				
AC002553.1	Nearest				
F13B	Nearest				
TMEM38B	Nearest				
TFPI	Nearest				
SLC9C2	Nearest				
CHURC1-FNTB	Nearest				
TMIE	Nearest				
C14orf64	Nearest				
FLJ00325	Nearest				
TLE4	Nearest				
ZNF821	Nearest				
DKFZP761K2322	Nearest				
STON1-GTF2A1L	Nearest				
HINT1	Nearest				
ZCWPW2	Nearest				
ARSJ	Nearest				
RNF135	Nearest				
CCDC59	Nearest				
ZNF385D	Nearest				
AL133318.1	Nearest				
SQRDL	Nearest				
SH3RF3	Nearest				
UBE2E3	Nearest				
CARD11	Nearest				
DEFB116	Nearest				
SLC16A7	Nearest				
YTHDF3	Nearest				
SYT10	Nearest				
RP11-297M9.1	Nearest				
SLCO3A1	Nearest				
HSD17B4	Nearest				
EFTUD2	Nearest				
FBXO33	Nearest				
DYRK2	Nearest				
CCDC81	Nearest				
SGOL1	Nearest				
SNX4	Nearest				
LZTS1	Nearest				
SIPA1L1	Nearest				
CAMK1G	Nearest				
CCK	Nearest				
C4orf33	Nearest				
NEDD1	Nearest				
JAZF1	Nearest				
CUX2	Nearest				
C17orf82	Nearest				
RP11-723G8.2	Nearest				
AC131935.1	Nearest				
CPNE8	Nearest				
KCNT2	Nearest				
KIF2B	Nearest				
CDYL2	Nearest				
GGNBP1	Nearest				
CDH9	Nearest				
STXBP6	Nearest				
GTF2A1L	Nearest				
RP11-180C1.1	Nearest				
PSAT1	Nearest				
RNF144B	Nearest				
SLC30A10	Nearest				
PRKD1	Nearest				
GNPDA2	Nearest				
EDEM1	Nearest				
CBLN4	Nearest				
OR4C15	Nearest				
ZEB2	Nearest				
RP11-58C22.1	Nearest				
UBE3D	Nearest				
ETAA1	Nearest				
RP11-295D22.1	Nearest				
OFCC1	Nearest				
IFNGR1	Nearest				
LRRFIP2	Nearest				
METTL4	Nearest				
TECRL	Nearest				
TRPC4AP	Nearest				
ADAMTSL3	Nearest				
TRIB2	Nearest				
RP11-463D19.2	Nearest				
TMEM239	MAGMA				
FEZF1	MAGMA				
FAM219A	MAGMA				
CMTR2	MAGMA				
KRTAP4-12	MAGMA				
ATF6B	MAGMA				
KRTAP2-2	MAGMA				
SLC4A1	MAGMA				
BYSL	MAGMA				
ZNF785	MAGMA				
SLC7A6	MAGMA				
ACOT12	MAGMA				
SLC52A1	MAGMA				
ESYT1	MAGMA				
POLK	MAGMA				
GP1BA	MAGMA				
MSL1	MAGMA				
MRPL10	MAGMA				
GDF15	MAGMA				
SIRPB2	MAGMA				
ZBTB12	MAGMA				
DNAI1	MAGMA				
C2orf49	MAGMA				
ZSCAN9	MAGMA				
ZG16	MAGMA				
ERG	MAGMA				
ARRDC2	MAGMA				
PPP1R13B	MAGMA				
AATK	MAGMA				
C16orf54	MAGMA				
STK16	MAGMA				
ARID3C	MAGMA				
SEMA4D	MAGMA				
MMS22L	MAGMA				
BAK1	MAGMA				
AGPAT1	MAGMA				
BANK1	MAGMA				
NINL	MAGMA				
TBC1D3H	MAGMA				
SPN	MAGMA				
BBC3	MAGMA				
MRPL38	MAGMA				
SYNGAP1	MAGMA				
HOXA13	MAGMA				
HMGN1	MAGMA				
SLC22A2	MAGMA				
OXT	MAGMA				
SHC1	MAGMA				
CCDC34	MAGMA				
ZNF48	MAGMA				
GINS1	MAGMA				
BSN	MAGMA				
NOXO1	MAGMA				
NASP	MAGMA				
LOC101928947	MAGMA				
CDC14A	MAGMA				
CDK11A	MAGMA				
APOBR	MAGMA				
TBL3	MAGMA				
TLR1	MAGMA				
TENM4	MAGMA				
KPNA2	MAGMA				
OGDH	MAGMA				
GPR37L1	MAGMA				
MACROD1	MAGMA				
SIX5	MAGMA				
HSPA1L	MAGMA				
FAM73A	MAGMA				
CST7	MAGMA				
LGI2	MAGMA				
DDB2	MAGMA				
SIRT6	MAGMA				
LOC100996637	MAGMA				
TRA2B	MAGMA				
C19orf43	MAGMA				
GRAMD2	MAGMA				
TRUB2	MAGMA				
ZBTB48	MAGMA				
SMUG1	MAGMA				
ZNF385B	MAGMA				
APOE	MAGMA				
C6orf15	MAGMA				
DAPK3	MAGMA				
IP6K1	MAGMA				
ZNF598	MAGMA				
HSPD1	MAGMA				
N4BP2L2	MAGMA				
APOC4	MAGMA				
ULK4	MAGMA				
NELFE	MAGMA				
MRGPRD	MAGMA				
DNM1	MAGMA				
LYZL4	MAGMA				
SORT1	MAGMA				
NPW	MAGMA				
PPM1K	MAGMA				
SETDB1	MAGMA				
TMEM120B	MAGMA				
NFKB2	MAGMA				
HCRTR2	MAGMA				
ARL13B	MAGMA				
GNAT1	MAGMA				
GMPPA	MAGMA				
DENND1A	MAGMA				
KIAA1324	MAGMA				
ORAI3	MAGMA				
QPRT	MAGMA				
RACGAP1	MAGMA				
PDZD3	MAGMA				
TNXB	MAGMA				
RAB3A	MAGMA				
FAM213B	MAGMA				
C9orf16	MAGMA				
BCAM	MAGMA				
FUS	MAGMA				
AQP2	MAGMA				
GSTM4	MAGMA				
ADAM23	MAGMA				
LACTBL1	MAGMA				
PDE4C	MAGMA				
LSM4	MAGMA				
RAB5B	MAGMA				
HVCN1	MAGMA				
MRGPRF	MAGMA				
HHLA2	MAGMA				
BDH2	MAGMA				
APOBEC2	MAGMA				
DPYD	MAGMA				
MT3	MAGMA				
TTLL4	MAGMA				
CNTFR	MAGMA				
ZNF395	MAGMA				
METTL21A	MAGMA				
SARS	MAGMA				
LOC101929490	MAGMA				
QKI	MAGMA				
MED27	MAGMA				
SLX1A	MAGMA				
DYNC1H1	MAGMA				
ABHD12	MAGMA				
FERMT3	MAGMA				
LSM12	MAGMA				
RPL32	MAGMA				
STX19	MAGMA				
LOC646670	MAGMA				
NTAN1	MAGMA				
LEMD2	MAGMA				
PKHD1	MAGMA				
ZNF655	MAGMA				
TMEM11	MAGMA				
ADGRD2	MAGMA				
LYSMD2	MAGMA				
MARK3	MAGMA				
NEU1	MAGMA				
KRTAP29-1	MAGMA				
PCCB	MAGMA				
ENHO	MAGMA				
ARPC3	MAGMA				
WDR12	MAGMA				
C15orf59	MAGMA				
ANKLE2	MAGMA				
PHF1	MAGMA				
OVCA2	MAGMA				
CATIP	MAGMA				
RABEP2	MAGMA				
C11orf68	MAGMA				
NFYA	MAGMA				
MLN	MAGMA				
PIGF	MAGMA				
GFI1	MAGMA				
FBXO36	MAGMA				
C17orf53	MAGMA				
RPL4	MAGMA				
CHRNA2	MAGMA				
SPDYE5	MAGMA				
C16orf62	MAGMA				
SPATA19	MAGMA				
MLIP	MAGMA				
IRX3	MAGMA				
ELFN1	MAGMA				
COQ10B	MAGMA				
CYSTM1	MAGMA				
SH3PXD2A	MAGMA				
SORCS2	MAGMA				
PCDHGC5	MAGMA				
CYP4A22	MAGMA				
UNC5CL	MAGMA				
OPA3	MAGMA				
ZNF747	MAGMA				
HP	MAGMA				
TRAF7	MAGMA				
PIGL	MAGMA				
HAPLN4	MAGMA				
USP4	MAGMA				
CDSN	MAGMA				
GPBP1L1	MAGMA				
C6orf1	MAGMA				
TBX21	MAGMA				
ARFRP1	MAGMA				
KLHL6	MAGMA				
CHAF1A	MAGMA				
SLC17A9	MAGMA				
HOXB5	MAGMA				
CYP3A5	MAGMA				
PCDHGB4	MAGMA				
TNRC18	MAGMA				
SNTG2	MAGMA				
PACSIN3	MAGMA				
CATSPER1	MAGMA				
HOXB8	MAGMA				
BCKDK	MAGMA				
CTSB	MAGMA				
FBXO46	MAGMA				
LOC101927262	MAGMA				
EHBP1L1	MAGMA				
CAMK2B	MAGMA				
RILPL1	MAGMA				
C1QBP	MAGMA				
VTI1A	MAGMA				
TIMM17A	MAGMA				
FAM114A2	MAGMA				
GLDN	MAGMA				
WNT6	MAGMA				
USP17L2	MAGMA				
PSD2	MAGMA				
FAM3B	MAGMA				
RPS10-NUDT3	MAGMA				
KLHL21	MAGMA				
C2orf61	MAGMA				
FAM177A1	MAGMA				
RER1	MAGMA				
PMVK	MAGMA				
TUBA1A	MAGMA				
CPD	MAGMA				
CHST10	MAGMA				
DNAJB4	MAGMA				
LIMD2	MAGMA				
ASCL2	MAGMA				
THPO	MAGMA				
ENO4	MAGMA				
TM9SF4	MAGMA				
SENP8	MAGMA				
HERC6	MAGMA				
KRTAP1-5	MAGMA				
RAD54B	MAGMA				
PRRT1	MAGMA				
MSANTD3	MAGMA				
MIP	MAGMA				
F2	MAGMA				
GRIA1	MAGMA				
DAND5	MAGMA				
CASC10	MAGMA				
VAX1	MAGMA				
ZDHHC22	MAGMA				
FOXR1	MAGMA				
TCTA	MAGMA				
FDFT1	MAGMA				
CBX1	MAGMA				
CSNK2B	MAGMA				
UBE2D3	MAGMA				
DAGLB	MAGMA				
NCF1	MAGMA				
BCL7A	MAGMA				
AGER	MAGMA				
ANKHD1-EIF4EBP3	MAGMA				
IL31	MAGMA				
TCF19	MAGMA				
ZNF664-FAM101A	MAGMA				
TMEM69	MAGMA				
UBE2J1	MAGMA				
PCDHGA5	MAGMA				
TCFL5	MAGMA				
C6orf48	MAGMA				
ESRP2	MAGMA				
NCKAP5L	MAGMA				
INCA1	MAGMA				
SLC7A6OS	MAGMA				
CCND1	MAGMA				
TRIM35	MAGMA				
HNF4G	MAGMA				
NOL11	MAGMA				
PSMD12	MAGMA				
DNAJC1	MAGMA				
HPCAL4	MAGMA				
TRAIP	MAGMA				
KCNN3	MAGMA				
FKBP5	MAGMA				
BCS1L	MAGMA				
C20orf141	MAGMA				
NUDT22	MAGMA				
CCDC85B	MAGMA				
CALB2	MAGMA				
CD79B	MAGMA				
TMOD2	MAGMA				
MRPS9	MAGMA				
CPA4	MAGMA				
MEGF11	MAGMA				
BTBD10	MAGMA				
KCNAB1	MAGMA				
RAPSN	MAGMA				
COMTD1	MAGMA				
CALCOCO2	MAGMA				
RAMP3	MAGMA				
DNAJC4	MAGMA				
GAP43	MAGMA				
POFUT2	MAGMA				
SAYSD1	MAGMA				
KRTAP4-8	MAGMA				
ZNF536	MAGMA				
MEF2B	MAGMA				
CAND2	MAGMA				
SF3B2	MAGMA				
KAT5	MAGMA				
MDH2	MAGMA				
AMIGO3	MAGMA				
ERH	MAGMA				
PROS1	MAGMA				
LAMA1	MAGMA				
CSHL1	MAGMA				
DERL2	MAGMA				
GRIN2A	MAGMA				
KANK4	MAGMA				
KRT33B	MAGMA				
DHRS7B	MAGMA				
ABHD16B	MAGMA				
KRT34	MAGMA				
NATD1	MAGMA				
SGSM3	MAGMA				
ASIC3	MAGMA				
SPDYA	MAGMA				
DECR2	MAGMA				
KRT31	MAGMA				
MUS81	MAGMA				
EVX1	MAGMA				
DAG1	MAGMA				
PRAC2	MAGMA				
SLC9A3R2	MAGMA				
ALPK1	MAGMA				
GP2	MAGMA				
SPNS1	MAGMA				
RPAP1	MAGMA				
AQP6	MAGMA				
WDPCP	MAGMA				
KNOP1	MAGMA				
SLC14A2	MAGMA				
LSMEM2	MAGMA				
SLC11A1	MAGMA				
SH3GL1	MAGMA				
ZDBF2	MAGMA				
PSRC1	MAGMA				
PCDHGA4	MAGMA				
ARL8A	MAGMA				
CLIC1	MAGMA				
BLK	MAGMA				
FUT8	MAGMA				
CBX2	MAGMA				
BEND5	MAGMA				
IKBKAP	MAGMA				
UPF1	MAGMA				
STYXL1	MAGMA				
NME4	MAGMA				
SLIT1	MAGMA				
HTR3D	MAGMA				
CER1	MAGMA				
CCZ1B	MAGMA				
KCNQ1	MAGMA				
CFAP74	MAGMA				
GCDH	MAGMA				
NLRX1	MAGMA				
BANF1	MAGMA				
CCDC47	MAGMA				
HMBS	MAGMA				
EFR3B	MAGMA				
AVL9	MAGMA				
URAD	MAGMA				
WIBG	MAGMA				
MOCS1	MAGMA				
USP38	MAGMA				
PPARD	MAGMA				
HMGCR	MAGMA				
LOC101927789	MAGMA				
VPS29	MAGMA				
SPEG	MAGMA				
AAAS	MAGMA				
FAM63A	MAGMA				
C4B	MAGMA				
HOXB1	MAGMA				
PDZK1IP1	MAGMA				
COL9A3	MAGMA				
IGHMBP2	MAGMA				
VIL1	MAGMA				
SP7	MAGMA				
CDC27	MAGMA				
USP17L7	MAGMA				
ASNA1	MAGMA				
PSMD9	MAGMA				
DCST1	MAGMA				
KDM5B	MAGMA				
SRCAP	MAGMA				
OBSL1	MAGMA				
GOLGA7B	MAGMA				
UBASH3B	MAGMA				
SLC7A13	MAGMA				
EGFL8	MAGMA				
PRR13	MAGMA				
ERAP2	MAGMA				
PDIA2	MAGMA				
NEIL2	MAGMA				
RCOR1	MAGMA				
TRMT1	MAGMA				
KMT2D	MAGMA				
IGF2BP2	MAGMA				
CENPE	MAGMA				
LEO1	MAGMA				
KRTAP1-3	MAGMA				
CD276	MAGMA				
BRCA2	MAGMA				
GTF2H1	MAGMA				
PCDHGB7	MAGMA				
HACL1	MAGMA				
RAD23A	MAGMA				
STK36	MAGMA				
RNASEH2C	MAGMA				
C9orf153	MAGMA				
IRAK2	MAGMA				
CBX4	MAGMA				
BLMH	MAGMA				
MYO9A	MAGMA				
ADCYAP1	MAGMA				
DUPD1	MAGMA				
GSTM1	MAGMA				
DHH	MAGMA				
RNF167	MAGMA				
AMFR	MAGMA				
DXO	MAGMA				
ZNF705D	MAGMA				
TLR10	MAGMA				
RPS10	MAGMA				
HIC1	MAGMA				
OARD1	MAGMA				
TULP1	MAGMA				
PPP1R14B	MAGMA				
RXFP4	MAGMA				
API5	MAGMA				
TNRC6A	MAGMA				
ELP6	MAGMA				
ITGAD	MAGMA				
RAD9B	MAGMA				
UGGT2	MAGMA				
SERTAD4	MAGMA				
PSD	MAGMA				
APOPT1	MAGMA				
SPI1	MAGMA				
MOGAT3	MAGMA				
SH3YL1	MAGMA				
TREM2	MAGMA				
DEFB134	MAGMA				
HOXB4	MAGMA				
RPGRIP1L	MAGMA				
GOLGA6B	MAGMA				
CDHR4	MAGMA				
ARHGAP1	MAGMA				
MYLK	MAGMA				
KRTAP4-11	MAGMA				
MAPKAPK3	MAGMA				
KRTAP2-1	MAGMA				
SEC22C	MAGMA				
FAM134A	MAGMA				
PURA	MAGMA				
DNPEP	MAGMA				
CSMD2	MAGMA				
PDX1	MAGMA				
NEO1	MAGMA				
SAPCD1	MAGMA				
STAG1	MAGMA				
OSBPL7	MAGMA				
DHX38	MAGMA				
ZNF142	MAGMA				
TMIGD1	MAGMA				
ANKHD1	MAGMA				
SLC38A3	MAGMA				
RPS6KA4	MAGMA				
EML6	MAGMA				
TGFBRAP1	MAGMA				
MASP2	MAGMA				
KRTAP9-1	MAGMA				
PSMG1	MAGMA				
PFDN1	MAGMA				
ZNF408	MAGMA				
RGS11	MAGMA				
ENPP7	MAGMA				
CEMIP	MAGMA				
HMG20A	MAGMA				
ITFG3	MAGMA				
SLC39A13	MAGMA				
GABRD	MAGMA				
LOC100996693	MAGMA				
CAPN11	MAGMA				
WDR53	MAGMA				
CCDC17	MAGMA				
ATXN7L3	MAGMA				
KRTAP4-4	MAGMA				
LOC646730	MAGMA				
SLC25A11	MAGMA				
TMEM126A	MAGMA				
GABRP	MAGMA				
SULT1A3	MAGMA				
TSPO2	MAGMA				
COMP	MAGMA				
SNX11	MAGMA				
PID1	MAGMA				
FARSA	MAGMA				
ABCC5	MAGMA				
TUBA1C	MAGMA				
PTPRG	MAGMA				
PLEKHG5	MAGMA				
FAM206A	MAGMA				
SNAPC5	MAGMA				
ACTL7A	MAGMA				
FAM175B	MAGMA				
KRTAP4-9	MAGMA				
DNAJC27	MAGMA				
TMBIM6	MAGMA				
LY6G6F	MAGMA				
SP2	MAGMA				
CALCR	MAGMA				
BTBD11	MAGMA				
CWC22	MAGMA				
NFE2L1	MAGMA				
STIP1	MAGMA				
SART1	MAGMA				
MAP3K12	MAGMA				
TAF11	MAGMA				
PMAIP1	MAGMA				
IKZF4	MAGMA				
TARBP2	MAGMA				
LMBR1L	MAGMA				
HSPE1	MAGMA				
PCDHGA8	MAGMA				
RBM5	MAGMA				
NCOA1	MAGMA				
ARPC1B	MAGMA				
C2CD2L	MAGMA				
ANKK1	MAGMA				
SSR2	MAGMA				
TTC29	MAGMA				
RNPEP	MAGMA				
VARS	MAGMA				
CD247	MAGMA				
SYT11	MAGMA				
ST5	MAGMA				
ZNF853	MAGMA				
TARDBP	MAGMA				
TNFRSF14	MAGMA				
KBTBD4	MAGMA				
HDGFRP2	MAGMA				
KRTAP3-3	MAGMA				
SLC24A1	MAGMA				
ZNF688	MAGMA				
HDAC11	MAGMA				
APOC2	MAGMA				
PWP1	MAGMA				
NMRK2	MAGMA				
RHOQ	MAGMA				
KRTAP9-2	MAGMA				
ITGAX	MAGMA				
SETD1B	MAGMA				
CDK2	MAGMA				
C16orf93	MAGMA				
SNRNP35	MAGMA				
TIMELESS	MAGMA				
PDE4B	MAGMA				
PLIN5	MAGMA				
GPR84	MAGMA				
PKD1L3	MAGMA				
ZNF26	MAGMA				
SNF8	MAGMA				
HAT1	MAGMA				
H2AFV	MAGMA				
CAMTA2	MAGMA				
ENO3	MAGMA				
NACC1	MAGMA				
CYP17A1	MAGMA				
LRRC1	MAGMA				
ASIC4	MAGMA				
GFER	MAGMA				
ESRP1	MAGMA				
DGKA	MAGMA				
SLC35G2	MAGMA				
GALT	MAGMA				
UBE2Z	MAGMA				
LPPR1	MAGMA				
SMCO1	MAGMA				
STK19	MAGMA				
BCL7B	MAGMA				
PCDHGA11	MAGMA				
MNT	MAGMA				
LY6G5B	MAGMA				
LOXL4	MAGMA				
VASP	MAGMA				
MAP4K2	MAGMA				
ACAP2	MAGMA				
KBTBD2	MAGMA				
YARS	MAGMA				
BAG5	MAGMA				
RELB	MAGMA				
NLRP1	MAGMA				
PBXIP1	MAGMA				
UMOD	MAGMA				
KIAA1586	MAGMA				
ZNF768	MAGMA				
NCK1	MAGMA				
SLC2A4RG	MAGMA				
HCN4	MAGMA				
MIS12	MAGMA				
TMEM59L	MAGMA				
USP36	MAGMA				
LYZ	MAGMA				
NPIPB6	MAGMA				
ITCH	MAGMA				
AK5	MAGMA				
KLHL26	MAGMA				
KRTAP4-7	MAGMA				
TMEM120A	MAGMA				
SLC2A2	MAGMA				
CELSR2	MAGMA				
GABRA5	MAGMA				
LRG1	MAGMA				
PTPMT1	MAGMA				
TRAK1	MAGMA				
PTPRJ	MAGMA				
LSM2	MAGMA				
KRTAP2-4	MAGMA				
ABCB6	MAGMA				
HINFP	MAGMA				
FSBP	MAGMA				
VPS72	MAGMA				
SRM	MAGMA				
RPP25L	MAGMA				
LRRC46	MAGMA				
SLC22A12	MAGMA				
SPRY4	MAGMA				
SOCS5	MAGMA				
POU5F1	MAGMA				
TFEB	MAGMA				
