Genes	Tools				
MAP2K5	DEPICT MAGMA MSC Nearest				
PDZRN4	DEPICT MAGMA MSC Nearest				
HS6ST3	DEPICT MAGMA MSC Nearest				
WNK1	DEPICT MAGMA MSC Nearest				
SOX2	FINEMAP Nearest PoPS				
AGAP3	FINEMAP MAGMA PoPS				
PSMB6	FINEMAP MAGMA PoPS				
ADPGK	FINEMAP MAGMA Nearest				
BLID	FINEMAP MAGMA Nearest				
ATF7IP	DEPICT FINEMAP Nearest				
RCN1	Nearest SMR TWAS				
VKORC1	MAGMA SMR TWAS				
SNRPC	MAGMA SMR TWAS				
PM20D1	MAGMA SMR TWAS				
SMPD3	MAGMA SMR TWAS				
ADORA2B	MAGMA SMR TWAS				
RPAIN	MAGMA SMR TWAS				
EIF3C	MAGMA SMR TWAS				
VCL	MAGMA SMR TWAS				
ZSWIM7	MAGMA SMR TWAS				
CPSF4	MAGMA SMR TWAS				
PSMB7	MAGMA PoPS TWAS				
ATP13A2	MAGMA PoPS TWAS				
VPS13C	MSC Nearest TWAS				
ZNF646	MAGMA MSC TWAS				
RBM6	MAGMA MSC TWAS				
SH2B1	MAGMA MSC TWAS				
VPS16	MAGMA MSC TWAS				
UHRF1BP1	MAGMA MSC TWAS				
PACRG	MAGMA MSC TWAS				
ZKSCAN5	MAGMA MSC TWAS				
ADCY3	MAGMA Nearest TWAS				
DNAJC11	MAGMA Nearest TWAS				
ARFGEF2	MAGMA Nearest TWAS				
BNIPL	MAGMA Nearest TWAS				
RASA2	MAGMA Nearest TWAS				
NSFL1C	MAGMA Nearest TWAS				
SLC25A37	MAGMA Nearest TWAS				
DYNC1I2	MAGMA Nearest TWAS				
STAU1	DEPICT MAGMA TWAS				
KCNJ11	DEPICT MAGMA TWAS				
EXOSC10	DEPICT MAGMA TWAS				
DCAF7	DEPICT MAGMA TWAS				
SMARCD2	DEPICT MAGMA TWAS				
CHORDC1	Nearest PoPS SMR				
ZNF668	MAGMA MSC SMR				
NRBF2	MAGMA MSC SMR				
NTHL1	MAGMA Nearest SMR				
SLC35E2	DEPICT MAGMA SMR				
ENTPD6	DEPICT MAGMA SMR				
PIAS4	DEPICT MAGMA SMR				
FGFR1	MSC Nearest PoPS				
LSAMP	MSC Nearest PoPS				
LPHN2	MSC Nearest PoPS				
GRM8	MSC Nearest PoPS				
TNRC6C	MSC Nearest PoPS				
DCUN1D4	MAGMA MSC PoPS				
BCL2	MAGMA Nearest PoPS				
PCDH7	MAGMA Nearest PoPS				
MMP16	MAGMA Nearest PoPS				
PHACTR1	MAGMA Nearest PoPS				
FSTL5	MAGMA Nearest PoPS				
LRP1B	MAGMA Nearest PoPS				
PDE4D	MAGMA Nearest PoPS				
PLXNA4	MAGMA Nearest PoPS				
EXT1	MAGMA Nearest PoPS				
FAM19A5	MAGMA Nearest PoPS				
CREB1	MAGMA Nearest PoPS				
PHF2	MAGMA Nearest PoPS				
PCDH17	MAGMA Nearest PoPS				
GABRB3	MAGMA Nearest PoPS				
GABBR2	MAGMA Nearest PoPS				
MACROD2	MAGMA Nearest PoPS				
AKT3	MAGMA Nearest PoPS				
ERBB4	MAGMA Nearest PoPS				
TNIK	MAGMA Nearest PoPS				
RAC1	MAGMA Nearest PoPS				
NRP1	MAGMA Nearest PoPS				
CDH13	MAGMA Nearest PoPS				
MDGA2	MAGMA Nearest PoPS				
ADCY5	MAGMA Nearest PoPS				
TENM2	MAGMA Nearest PoPS				
ENAH	MAGMA Nearest PoPS				
LEPR	MAGMA Nearest PoPS				
MAD1L1	MAGMA Nearest PoPS				
EBF1	MAGMA Nearest PoPS				
CRIM1	MAGMA Nearest PoPS				
LRFN2	MAGMA Nearest PoPS				
RND3	MAGMA Nearest PoPS				
CSMD1	MAGMA Nearest PoPS				
CXXC5	MAGMA Nearest PoPS				
EPHA3	MAGMA Nearest PoPS				
GADD45G	MAGMA Nearest PoPS				
PTPRD	MAGMA Nearest PoPS				
CCNL1	MAGMA Nearest PoPS				
INPP4B	MAGMA Nearest PoPS				
SOX5	MAGMA Nearest PoPS				
PRKG1	MAGMA Nearest PoPS				
MAGI2	MAGMA Nearest PoPS				
LDB2	MAGMA Nearest PoPS				
TNNI3K	MAGMA Nearest PoPS				
MSI2	MAGMA Nearest PoPS				
CNTNAP2	MAGMA Nearest PoPS				
TCF7L2	MAGMA Nearest PoPS				
FOXP1	MAGMA Nearest PoPS				
TRPS1	MAGMA Nearest PoPS				
ATP2B1	MAGMA Nearest PoPS				
BTBD9	DEPICT Nearest PoPS				
NDST3	DEPICT Nearest PoPS				
UBR4	DEPICT Nearest PoPS				
BAI3	DEPICT Nearest PoPS				
LMO3	DEPICT Nearest PoPS				
USP47	DEPICT MAGMA PoPS				
PRKCB	DEPICT MAGMA PoPS				
BAZ1B	DEPICT MAGMA PoPS				
HDAC3	DEPICT MAGMA PoPS				
THRA	DEPICT MAGMA PoPS				
ATXN2L	DEPICT MAGMA PoPS				
SMARCC1	DEPICT MAGMA PoPS				
ZBTB38	DEPICT MAGMA PoPS				
SF3B1	DEPICT MAGMA PoPS				
CTBP2	DEPICT MAGMA PoPS				
GSK3A	DEPICT MAGMA PoPS				
KDM3A	DEPICT MAGMA PoPS				
SLC10A7	MAGMA MSC Nearest				
AGBL4	MAGMA MSC Nearest				
TOX3	MAGMA MSC Nearest				
ESRRA	MAGMA MSC Nearest				
BACE2	MAGMA MSC Nearest				
NUP88	MAGMA MSC Nearest				
ARHGAP15	MAGMA MSC Nearest				
GIPR	MAGMA MSC Nearest				
RSU1	MAGMA MSC Nearest				
KIT	MAGMA MSC Nearest				
FPGT-TNNI3K	MAGMA MSC Nearest				
ZBTB7C	MAGMA MSC Nearest				
CWH43	MAGMA MSC Nearest				
MAST4	MAGMA MSC Nearest				
POU2F2	MAGMA MSC Nearest				
GRIN3A	MAGMA MSC Nearest				
ADARB1	MAGMA MSC Nearest				
DMXL2	MAGMA MSC Nearest				
KIAA0391	MAGMA MSC Nearest				
POU6F2	MAGMA MSC Nearest				
GOLGA2	MAGMA MSC Nearest				
JADE2	MAGMA MSC Nearest				
TAL1	MAGMA MSC Nearest				
FBXL17	MAGMA MSC Nearest				
PTPRN	MAGMA MSC Nearest				
DNAH10	MAGMA MSC Nearest				
NTNG1	MAGMA MSC Nearest				
OGFOD1	MAGMA MSC Nearest				
NADK	MAGMA MSC Nearest				
TRPM3	MAGMA MSC Nearest				
SLC39A8	MAGMA MSC Nearest				
ZC3H4	MAGMA MSC Nearest				
ZMIZ2	MAGMA MSC Nearest				
RGS17	MAGMA MSC Nearest				
KIAA1598	MAGMA MSC Nearest				
INADL	MAGMA MSC Nearest				
BNC2	MAGMA MSC Nearest				
GLP2R	MAGMA MSC Nearest				
BRWD1	MAGMA MSC Nearest				
HIVEP1	MAGMA MSC Nearest				
C12orf42	MAGMA MSC Nearest				
NBEAL1	MAGMA MSC Nearest				
MFAP3	MAGMA MSC Nearest				
MALRD1	MAGMA MSC Nearest				
CCSER1	MAGMA MSC Nearest				
TMEM161B	MAGMA MSC Nearest				
POC5	MAGMA MSC Nearest				
ARHGAP28	MAGMA MSC Nearest				
DCST2	MAGMA MSC Nearest				
ZCCHC7	MAGMA MSC Nearest				
GAB2	MAGMA MSC Nearest				
ABCG2	MAGMA MSC Nearest				
SKAP1	MAGMA MSC Nearest				
DGKG	MAGMA MSC Nearest				
CDH22	MAGMA MSC Nearest				
VSX1	MAGMA MSC Nearest				
CADM1	MAGMA MSC Nearest				
CRTAC1	MAGMA MSC Nearest				
CCDC85A	MAGMA MSC Nearest				
LMX1B	MAGMA MSC Nearest				
CCDC92	MAGMA MSC Nearest				
PARD3B	MAGMA MSC Nearest				
RELN	MAGMA MSC Nearest				
CAST	MAGMA MSC Nearest				
DEFB136	MAGMA MSC Nearest				
PGPEP1	MAGMA MSC Nearest				
GPR61	MAGMA MSC Nearest				
POU6F1	DEPICT MSC Nearest				
ZC3HAV1	DEPICT MSC Nearest				
UBAP2	DEPICT MAGMA MSC				
ZNF574	DEPICT MAGMA MSC				
PLCB3	DEPICT MAGMA MSC				
ETV5	DEPICT MAGMA MSC				
IPO9	DEPICT MAGMA Nearest				
ANKRD6	DEPICT MAGMA Nearest				
PSMD3	DEPICT MAGMA Nearest				
RTN4RL1	DEPICT MAGMA Nearest				
CADPS2	DEPICT MAGMA Nearest				
STK24	DEPICT MAGMA Nearest				
SYNCRIP	DEPICT MAGMA Nearest				
KCNJ12	DEPICT MAGMA Nearest				
CALN1	DEPICT MAGMA Nearest				
CDH7	DEPICT MAGMA Nearest				
GTF2I	DEPICT MAGMA Nearest				
IGSF9B	DEPICT MAGMA Nearest				
SYT16	DEPICT MAGMA Nearest				
SYT4	DEPICT MAGMA Nearest				
AP1S1	DEPICT MAGMA Nearest				
AXIN1	DEPICT MAGMA Nearest				
ANKRD28	DEPICT MAGMA Nearest				
ZRANB1	DEPICT MAGMA Nearest				
SETD5	DEPICT MAGMA Nearest				
ZBTB7A	DEPICT MAGMA Nearest				
ZSWIM6	DEPICT MAGMA Nearest				
RTN4	DEPICT MAGMA Nearest				
FBXO21	DEPICT MAGMA Nearest				
DIAPH1	DEPICT MAGMA Nearest				
CPNE3	DEPICT MAGMA Nearest				
RABEP1	DEPICT MAGMA Nearest				
